text,category
 Media Planning| Digital Media,Media Planning Executive/Manager
 pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Sales Executive/Officer
 Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D Executive
 Technical Support,Technical Support Engineer
 manual testing| test engineering| test cases| web testing| web technologies,Testing Engineer
 adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,System Analyst
 channel partners| real estate| negotiation| property| Residential Sales,Sales Executive/Officer
 TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Technical Architect
 Bde,Sales Executive/Officer
 technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Associate/Senior Associate -(Technical)
 secretary| executive assistant| ea,Corporate Planning/Strategy Manager
 website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Webmaster
 operations| workflow| tat| monitoring| mts| email,Process Flow Analyst
Oracle IDAM|OIM|OAM,Software Developer
 digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Social Media Marketing Manager
 Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Senior Design Engineer
 Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts Manager
Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Software Developer
 C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Software Developer
 sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Sales Officer
 lead generation| business development| corporate sales,Sales/Business Development Manager
 contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Sales/Business Development Manager
 QA Executive,Quality Assurance/Quality Control Executive
 Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Software Developer
 Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Software Developer
 Articulate Storyline,Graphic/Web Designer
 Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Area Sales Manager
 C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Software Developer
 qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,System Administrator
 Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Manager-IT/Software
Java| java api| Banking| j2ee| API| finance| core java| microservices,Software Developer
GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Project Lead
 Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics Executive
 filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts Executive/Accountant
 Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Associate/Senior Associate -(NonTechnical)
 Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support Manager
4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Technical Architect
arm processor|c|device drivers|embedded linux|linux kernel|ipc,Software Developer
 market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Sales/Business Development Manager
 fixed assets| accounts payable| record to report| general accounting| general ledger,Associate/Senior Associate -(NonTechnical)
 Team management| Regional sales| Management,Regional Manager
 Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,Head / VP/ GM/ National Manager After Sales
 ODI| Matrix,Software Developer
 javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Software Developer
 Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Associate/Senior Associate -(NonTechnical)
 android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Software Developer
 cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,Associate/Senior Associate -(NonTechnical)
 bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Software Developer
 Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Team Leader -(NonTechnical)
 Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Developer
 Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Sales/Business Development Manager
 PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Software Developer
 WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,DBA
 Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR Executive
 Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Software Developer
 Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Head/VP/GM/National Manager -Sales
 Facility Management| facility services,Centre Head / Branch Head / Club Manager
sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,Associate/Senior Associate -(NonTechnical)
 Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Sales/Business Development Manager
 ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR Executive
 revenue generation| marketing| ad sales| web technologies,Sales/Business Development Manager
 co ordination| team management| drafting| loans| online| coordination| quality,Project Architect
 English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Software Developer
 cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,System Analyst
National| Branch| Vice President| J2Ee| Software,Software Developer
 Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Software Developer
 Performance Testing| Software Testing| Manual Testing| Quality Testing,Testing Engineer
 international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Associate/Senior Associate -(NonTechnical)
 Innovative| Aggressive,Front Office/Guest Relations Executive/Manager
 Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Design Engineer
 design| android| erp| software| mvc| quality,Software Developer
 Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,Technical Writer
 Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Design Engineer
 Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Sales/Business Development Manager
 Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts Executive/Accountant
